config,model,scheme,fold,criterion,rule,test_recorded_hours,threshold,tuning_sens,tuning_fa,criterion_met_on_tuning,test_sens,test_fa,test_tp,test_fp,test_ref_true,criterion_met_on_test
Full-18,rf,loo,chb09,realtime_alert,szcore,67.86555555555556,0.86,0.09523809523809523,1.8842207416938357,False,1.0,3.8900440413235313,4.0,11.0,4.0,False
Full-18,rf,loo,chb09,realtime_alert,ali,67.86555555555556,0.72,0.0,1.4131655562703769,False,1.0,4.597324776109628,4.0,13.0,4.0,False
Full-18,rf,loo,chb18,medication_titration,szcore,34.63333333333333,0.74,0.08695652173913043,3.8599459131035636,False,0.0,1.3859480269489894,0.0,2.0,6.0,False
Full-18,rf,loo,chb18,medication_titration,ali,34.63333333333333,0.55,0.0,4.889264823264514,False,0.0,0.0,0.0,0.0,6.0,False
Full-18,rf,loo,chb18,realtime_alert,szcore,34.63333333333333,0.81,0.08695652173913043,1.5439783652414254,False,0.0,0.0,0.0,0.0,6.0,False
Full-18,rf,loo,chb18,realtime_alert,ali,34.63333333333333,0.63,0.0,1.801308092781663,False,0.0,0.0,0.0,0.0,6.0,False
Full-18,rf,loo,chb13,medication_titration,szcore,33.0,0.98,0.05263157894736842,3.428603441675459,False,0.0,0.7272727272727273,0.0,1.0,12.0,False
Full-18,rf,loo,chb13,medication_titration,ali,33.0,0.94,0.0,3.226920886282785,False,0.0,0.0,0.0,0.0,12.0,False
Full-18,rf,loo,chb13,realtime_alert,szcore,33.0,0.99,0.05263157894736842,0.8067302215706963,False,0.0,0.7272727272727273,0.0,1.0,12.0,False
Full-18,rf,loo,chb13,realtime_alert,ali,33.0,0.95,0.0,0.8067302215706963,False,0.0,0.0,0.0,0.0,12.0,False
Full-18,rf,loo,chb02,medication_titration,szcore,34.26555555555556,0.97,0.0,4.337309809147415,False,0.0,0.7004118162067511,0.0,1.0,3.0,False
Full-18,rf,loo,chb02,medication_titration,ali,34.26555555555556,0.93,0.0,2.9572566880550557,False,0.0,0.0,0.0,0.0,3.0,False
Full-18,rf,loo,chb02,realtime_alert,szcore,34.26555555555556,0.98,0.0,1.7743540128330335,False,0.0,0.0,0.0,0.0,3.0,False
Full-18,rf,loo,chb02,realtime_alert,ali,34.26555555555556,0.94,0.0,1.5772035669626965,False,0.0,0.0,0.0,0.0,3.0,False
Full-18,rf,loo,chb14,medication_titration,szcore,26.0,0.98,0.0,4.5353032125064425,False,0.0,0.0,0.0,0.0,8.0,False
Full-18,rf,loo,chb14,medication_titration,ali,26.0,0.94,0.0,3.9168527744373822,False,0.0,0.0,0.0,0.0,8.0,False
Full-18,rf,loo,chb14,realtime_alert,szcore,26.0,0.99,0.0,1.4430510221611408,False,0.0,0.0,0.0,0.0,8.0,False
Full-18,rf,loo,chb14,realtime_alert,ali,26.0,0.96,0.0,1.2369008761381206,False,0.0,0.0,0.0,0.0,8.0,False
Full-18,rf,loo,chb06,medication_titration,szcore,58.733333333333334,0.42,0.2972972972972973,4.926507856056767,False,1.0,250.07945516458568,8.0,612.0,8.0,False
Full-18,rf,loo,chb06,medication_titration,ali,58.733333333333334,0.31,0.1891891891891892,4.926507856056767,False,0.625,520.1816118047673,5.0,1273.0,8.0,False
Full-18,rf,loo,chb06,realtime_alert,szcore,58.733333333333334,0.64,0.16216216216216217,1.9158641662442981,False,0.875,222.29284903518726,7.0,544.0,8.0,False
Full-18,rf,loo,chb06,realtime_alert,ali,58.733333333333334,0.56,0.08108108108108109,1.6421692853522556,False,0.125,627.6503972758229,1.0,1536.0,8.0,False
Full-18,rf,loo,chb03,medication_titration,szcore,37.00111111111111,0.34,0.14705882352941177,4.743830879951345,False,1.0,11.675325065313354,7.0,18.0,7.0,False
Full-18,rf,loo,chb03,medication_titration,ali,37.00111111111111,0.27,0.08823529411764706,4.37892081226278,False,0.42857142857142855,9.729437554427795,3.0,15.0,7.0,False
Full-18,rf,loo,chb03,realtime_alert,szcore,37.00111111111111,0.42,0.14705882352941177,1.9461870276723467,False,1.0,1.9458875108855591,7.0,3.0,7.0,True
Full-18,rf,loo,chb03,realtime_alert,ali,37.00111111111111,0.32,0.08823529411764706,1.9461870276723467,False,0.2857142857142857,4.540404192066305,2.0,7.0,7.0,False
Full-18,rf,loo,chb12,medication_titration,szcore,20.685555555555556,0.97,0.6666666666666666,4.696551617028105,True,0.0,0.0,0.0,0.0,27.0,False
Full-18,rf,loo,chb12,medication_titration,ali,20.685555555555556,0.92,0.16666666666666666,4.808374274576393,False,0.0,0.0,0.0,0.0,27.0,False
Full-18,rf,loo,chb12,realtime_alert,szcore,20.685555555555556,0.99,0.6666666666666666,1.2300492330311705,False,0.0,0.0,0.0,0.0,27.0,False
Full-18,rf,loo,chb12,realtime_alert,ali,20.685555555555556,0.98,0.0,1.2300492330311705,False,0.0,0.0,0.0,0.0,27.0,False
Full-18,rf,loo,chb22,medication_titration,szcore,30.002222222222223,0.97,0.5,3.821079413310301,False,1.0,0.0,3.0,0.0,3.0,True
Full-18,rf,loo,chb22,medication_titration,ali,30.002222222222223,0.92,0.0,4.72015692232449,False,0.3333333333333333,1.5998814902599807,1.0,2.0,3.0,False
Full-18,rf,loo,chb22,realtime_alert,szcore,30.002222222222223,0.99,0.4166666666666667,1.0114621976409621,False,1.0,0.0,3.0,0.0,3.0,True
Full-18,rf,loo,chb22,realtime_alert,ali,30.002222222222223,0.96,0.0,1.9105397066551506,False,0.0,2.3998222353899714,0.0,3.0,3.0,False
Full-18,rf,loo,chb04,medication_titration,szcore,146.6211111111111,0.99,0.45454545454545453,4.1208791208791204,False,0.0,0.0,0.0,0.0,4.0,False
Full-18,rf,loo,chb04,medication_titration,ali,146.6211111111111,0.97,0.0,4.395604395604395,False,0.0,0.0,0.0,0.0,4.0,False
Full-18,rf,loo,chb04,realtime_alert,szcore,146.6211111111111,,,,False,,,,,,False
Full-18,rf,loo,chb04,realtime_alert,ali,146.6211111111111,0.99,0.0,1.923076923076923,False,0.0,0.0,0.0,0.0,4.0,False
Full-18,rf,loo,chb05,medication_titration,szcore,38.00222222222222,0.46,0.8461538461538461,4.742249934135418,True,1.0,206.5142389333957,5.0,327.0,5.0,False
Full-18,rf,loo,chb05,medication_titration,ali,38.00222222222222,0.31,0.38461538461538464,4.742249934135418,False,1.0,436.3955324250044,5.0,691.0,5.0,False
